                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.933,                 4.0245,                 1.6704,                0.02722,                   0.28,                0.19092,                0.11759,                 1.4108,                 4.0725,                  1.408,              9.996e-05,              9.996e-05,              9.996e-05
                      1,                 1.6297,                 3.3821,                  1.395,                0.03027,                  0.445,                0.27067,                0.18381,                 1.3723,                  3.565,                 1.2294,             0.00020501,             0.00020501,             0.00020501
                      2,                 1.5512,                 2.5875,                 1.3087,                0.96149,                0.19327,                0.49329,                0.32656,                 1.3842,                 3.0358,                 1.2382,             0.00030794,             0.00030794,             0.00030794
                      3,                 1.5194,                 1.8569,                 1.2906,                 0.9593,                0.46107,                0.79691,                 0.4822,                 1.4519,                 2.1807,                 1.2684,             0.00040875,             0.00040875,             0.00040875
                      4,                 1.4634,                 1.4104,                 1.2655,                0.83018,                0.71438,                0.90644,                0.53085,                 1.4103,                 1.4272,                 1.2533,             0.00050744,             0.00050744,             0.00050744
                      5,                 1.4243,                 1.2222,                  1.259,                0.80132,                0.83906,                0.90943,                0.54434,                 1.3443,                 1.1422,                 1.2292,               0.000604,               0.000604,               0.000604
                      6,                 1.4259,                 1.1415,                 1.2581,                0.84676,                0.87511,                0.92008,                0.56145,                 1.3385,                 1.1051,                 1.2129,             0.00067159,             0.00067159,             0.00067159
                      7,                 1.3645,                  1.093,                 1.2305,                0.84147,                0.84817,                0.90861,                0.53058,                 1.4008,                 1.1243,                 1.2328,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.3325,                 1.0359,                 1.2276,                0.89742,                0.87239,                0.94022,                0.57878,                 1.3282,                  0.983,                  1.202,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.3327,                0.99365,                 1.2177,                0.88974,                0.86446,                0.90794,                0.55589,                 1.3848,                 1.0514,                 1.2457,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2942,                0.96353,                 1.2023,                0.88233,                0.92121,                 0.9489,                0.60032,                 1.3379,                0.92617,                 1.2181,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.2761,                0.93504,                  1.181,                0.94143,                0.87313,                0.93341,                0.57478,                 1.3316,                0.83602,                 1.2087,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.2931,                0.91835,                 1.1856,                0.90446,                0.90195,                0.95399,                0.59024,                 1.2966,                0.82618,                 1.2114,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.3077,                0.93076,                 1.2072,                0.89333,                0.88327,                0.93255,                0.60228,                 1.2685,                0.83894,                 1.1956,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.2608,                0.88366,                  1.172,                 0.9337,                0.89976,                 0.9319,                0.59045,                 1.2573,                0.82029,                 1.2066,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.2407,                 0.8425,                 1.1584,                0.92045,                0.90585,                0.94793,                0.61603,                 1.2514,                0.81116,                 1.1914,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.2181,                0.83614,                 1.1621,                0.85837,                0.90904,                0.94834,                0.61118,                 1.2408,                0.78273,                 1.1838,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.2474,                0.85354,                 1.1667,                0.88407,                0.90572,                0.95283,                0.59101,                 1.3084,                0.80856,                 1.2235,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.2445,                0.84464,                 1.1623,                0.86576,                0.94801,                 0.9578,                0.60502,                 1.2889,                0.78389,                  1.212,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.2247,                0.83007,                 1.1449,                0.91815,                0.89926,                0.96929,                0.61106,                   1.25,                0.77125,                 1.1717,             0.00058677,             0.00058677,             0.00058677
